implementation,128-runtime,256-runtime,512-runtime,1024-runtime,2048-runtime,4096-runtime,8192-runtime
sequential,0.620564,2.5201,17.0561,103.923,348.399,1518.86,null
mpi-2,1.47129,5.80492,24.7407,112.561,467.86,1992.49,null
pthreads-2,1.19901,3.68832,15.2611,71.1287,342.549,1427.36,null
pthreads-4,6.33368,7.85055,15.1767,null,334.028,1479.87,null
pthreads-8,1.59636,5.40486,20.7562,73.2792,438.18,1916.7,null
openmp-2,0.751304,2.71645,15.7533,71.8379,307.533,1424.25,null
openmp-4,1.02813,3.93674,18.7659,71.8157,418.644,1876.7,null
openmp-8,1.21691,4.28457,19.1396,69.7623,427.119,1862.73,null
cuda-128,135.644,153.355,153.21,null,315.804,963.288,null
cuda-256,0.714586,2.4109,6.42338,null,160.132,800.862,null
cuda-512,0.663032,1.60183,6.21201,27.2412,160.798,800.165,null
